Date,Price,Open,High,Low,Vol.,Change %
2016-05-16,615.78,610.13,616.17,608.49,109340000,0.81
2016-05-13,610.82,612.32,615.3,608.04,110630000,-0.21
2016-05-12,612.12,615.55,617.56,612.12,93540000,-0.32
2016-05-11,614.06,606.6,614.06,606.06,162840000,1.49
2016-05-10,605.05,600.35,605.46,597.74,143700000,0.2
2016-05-09,603.85,610.92,612.97,603.85,145390000,-0.44
2016-05-06,606.52,602.4,608.94,602.17,120430000,0.83
2016-05-05,601.51,600.66,605.21,600.5,134810000,0.41
2016-05-04,599.07,595.95,603.08,592.43,143700000,0.12
2016-04-29,598.37,591.2,599.71,591.2,124900000,1.13
2016-04-28,591.67,594.98,597.28,589.97,101200000,-0.39
2016-04-27,593.96,601.79,601.79,591.35,149050000,-0.76
2016-04-26,598.48,590.99,598.48,590.19,176650000,1.17
2016-04-25,591.58,597.91,601.61,591.58,161640000,-0.15
2016-04-22,592.48,574.57,592.48,574.57,140760000,2.91
2016-04-21,575.73,571.19,577.41,570.71,104750000,1.36
2016-04-20,568.03,569.8,571.71,565.3,116430000,-0.04
2016-04-19,568.28,578.32,578.44,568.28,138460000,-2.0
2016-04-15,579.86,581.54,586.36,579.86,124270000,0.06
2016-04-14,579.49,575.69,584.81,575.69,116830000,0.25
2016-04-13,578.02,580.77,582.81,575.65,140040000,-0.31
2016-04-12,579.84,580.9,582.97,577.17,165750000,0.1
2016-04-11,579.27,575.11,581.88,575.01,143190000,1.21
2016-04-08,572.34,571.21,574.46,569.09,122410000,0.13
2016-04-07,571.6,570.72,572.56,567.01,123540000,0.67
2016-04-06,567.79,561.94,567.79,560.63,120890000,1.33
2016-04-05,560.32,555.98,560.32,555.15,140380000,0.81
2016-04-04,555.82,557.56,560.92,554.3,118850000,-0.47
2016-04-01,558.43,560.64,562.73,557.96,131420000,-0.5
2016-03-31,561.22,569.04,570.94,561.22,172530000,-1.52
2016-03-30,569.91,566.08,571.89,565.55,135460000,0.29
2016-03-29,568.28,575.63,576.07,568.28,165100000,-1.29
2016-03-28,575.72,573.69,576.0,571.58,127860000,0.64
2016-03-25,572.08,569.48,572.48,564.88,159140000,0.25
2016-03-24,570.66,573.93,577.21,570.66,166990000,-0.7
2016-03-23,574.71,570.74,575.22,570.39,142820000,0.67
2016-03-22,570.91,572.27,573.8,567.8,132090000,-0.24
2016-03-21,572.27,577.65,580.83,572.27,163800000,-0.62
2016-03-18,575.82,579.95,580.81,575.44,226160000,-0.59
2016-03-17,579.26,581.55,583.53,579.26,165830000,0.38
2016-03-16,577.07,573.88,577.96,573.37,148930000,0.53
2016-03-15,574.04,577.98,578.96,572.59,163940000,-0.68
2016-03-14,577.98,579.61,579.84,576.26,175480000,0.12
2016-03-11,577.26,576.12,580.93,574.81,146760000,0.23
2016-03-10,575.91,574.07,575.91,571.52,146190000,0.73
2016-03-09,571.71,573.47,576.32,571.48,125150000,-0.52
2016-03-08,574.71,576.75,579.87,574.53,149050000,-0.26
2016-03-07,576.2,575.76,580.95,575.39,158920000,0.44
2016-03-04,573.65,570.18,576.02,568.83,142760000,0.57
2016-03-03,570.39,573.06,573.88,569.39,132210000,0.04
2016-03-02,570.18,564.85,570.18,562.97,144880000,1.54
2016-03-01,561.56,560.03,565.65,560.03,141420000,0.39
2016-02-29,559.37,565.61,566.31,559.37,129710000,-1.19
2016-02-26,566.11,565.61,566.8,562.39,106610000,0.58
2016-02-25,562.82,571.15,573.63,562.82,151420000,-0.92
2016-02-24,568.04,559.48,569.7,557.77,160240000,1.2
2016-02-23,561.28,564.75,567.58,561.09,159710000,0.1
2016-02-22,560.71,555.31,561.44,555.31,152960000,1.21
2016-02-19,554.03,552.37,555.16,551.38,185580000,0.28
2016-02-18,552.49,550.51,555.05,549.16,126030000,0.99
2016-02-17,547.05,551.38,552.38,547.05,131160000,-0.18
2016-02-16,548.05,545.72,548.89,545.72,108040000,0.78
2016-02-15,543.79,540.13,544.59,537.81,68700000,-0.18
2016-02-05,544.75,540.64,545.54,540.64,61850000,0.48
2016-02-04,542.15,542.91,545.17,541.66,67890000,0.57
2016-02-03,539.07,531.11,539.07,530.23,87350000,0.49
2016-02-02,536.45,537.71,542.26,535.38,93180000,-0.76
2016-02-01,540.56,545.27,548.58,540.56,107300000,-0.86
2016-01-29,545.25,539.96,545.71,537.51,122860000,1.07
2016-01-28,539.47,542.01,544.73,538.59,113210000,-0.59
2016-01-27,542.69,541.18,543.88,540.03,124970000,0.92
2016-01-26,537.73,534.06,542.98,531.27,142010000,-0.85
